ui_name;ingredient;alias;shop;generic_name;original_name;package_weight;unit;price_per_100;price_package;match_type;fuzzy_score;dedup;kcal
karkówka wołowa;wieprzowina;karkówka;auchan;karkówka;Karkówka wieprzowa bez kości rasy Puławskiej MAP Pewni Dobrego na wagę ok. 600 g;100.0;g;3.599;21.59;auto;100.0;shop_sku;250.0
kawa;kawa;mc cafe kawa mielona;biedronka;mc cafe kawa mielona;MC Cafe Premium kawa mielona 250 g;250.0;g;9.996;24.99;repair;100.0;;525.0
ketchup;ketchup;;biedronka;ketchup;Kotlin Ketchup łagodny 450 g;450.0;g;1.4333;6.45;auto;100.0;;101.0
kiełbasa;kiełbasa wieprzowa śniadaniowa;;auchan;śniadaniowa;Śniadaniowa klasyczna Bielmar 450 g;450.0;g;1.1978;5.39;auto;100.0;;100.0
kiełbasa;kiełbasa śniadaniowa;;auchan;śniadaniowa;Śniadaniowa klasyczna Bielmar 450 g;450.0;g;1.1978;5.39;auto;100.0;shop_sku;100.0
kiełbasa;kiełbaski śniadaniowe;;auchan;śniadaniowe;Śniadaniowe z Łukowa 63% Lumiko 270 g;270.0;g;1.4407;3.89;auto;100.0;canonical_name;100.0
kiełbasa;kiełbasa;;auchan;kiełbasa;Kiełbasa Krakowska Spichlerz Rusiecki 280 g;280.0;g;3.4964;9.79;auto;100.0;canonical_name;299.0
kiełbasa;kiełbasa andouille;;auchan;kiełbasa;Kiełbasa Krakowska Spichlerz Rusiecki 280 g;280.0;g;3.4964;9.79;auto;100.0;canonical_name;299.0
kiełbasa;kiełbasa wegetariańska;;auchan;kiełbasa;Kiełbasa Krakowska Spichlerz Rusiecki 280 g;280.0;g;3.4964;9.79;auto;100.0;canonical_name;299.0
kiełbasa;kiełbasa wędzona;;auchan;kiełbasa;Kiełbasa Krakowska Spichlerz Rusiecki 280 g;280.0;g;3.4964;9.79;auto;100.0;canonical_name;299.0
kiełbasa;kiełbasa włoska;;auchan;kiełbasa;Kiełbasa Krakowska Spichlerz Rusiecki 280 g;280.0;g;3.4964;9.79;auto;100.0;canonical_name;299.0
kiełbasa;kiełbasa z indyka;;auchan;kiełbasa;Kiełbasa Krakowska Spichlerz Rusiecki 280 g;280.0;g;3.4964;9.79;auto;100.0;canonical_name;299.0
kiełbasa;kiełbasa z kurczaka;;auchan;kiełbasa;Kiełbasa Krakowska Spichlerz Rusiecki 280 g;280.0;g;3.4964;9.79;auto;100.0;canonical_name;299.0
kiełki fasoli;kiełki fasoli;;auchan;kiełki fasoli;Kiełki fasoli Mung w zalewie Diamond 330 g;175.0;g;5.6514;9.89;auto;100.0;;30.0
kimchi;kimchi;;auchan;kimchi;Kimchi Runoland 300 g;300.0;g;3.5967;10.79;auto;100.0;;24.0
kiwi;kiwi;;biedronka;kiwi;Kiwi 1 szt.;1.0;szt;1.99;1.99;auto;100.0;;61.0
kmin rzymski;kmin rzymski;;auchan;kmin rzymski mielony;Kmin rzymski mielony Kotányi 15 g;15.0;g;15.6;2.34;auto;100.0;;375.0
kmin rzymski;kmin rzymski mielony;;auchan;kmin rzymski mielony;Kmin rzymski mielony Kotányi 15 g;15.0;g;15.6;2.34;auto;100.0;shop_sku;375.0
kokos;kokos;;auchan;kokos w łupinie;Kokos w łupinie Owoce  Auchan na wagę ok. 400 g;100.0;g;1.029;4.12;auto;100.0;;354.0
kolendra;kolendra;;auchan;kolendra;Kolendra Auchan sztuka;250.0;g;2.796;6.99;auto;100.0;;23.0
kolendra;kolendra mielona;;auchan;kolendra;Kolendra Auchan sztuka;250.0;g;2.796;6.99;auto;100.0;shop_sku;23.0
komosa ryżowa;komosa ryzowa;;auchan;komosa ryżowa;Quinoa Komosa Ryżowa Intenson 250 g;250.0;g;3.796;9.49;auto;92.3;;120.0
komosa ryżowa;komosa ryżowa;;auchan;komosa ryżowa;Quinoa Komosa Ryżowa Intenson 250 g;250.0;g;3.796;9.49;auto;100.0;shop_sku;120.0
komosa ryżowa;ryż pełnoziarnisty i komosa ryżowa;;auchan;komosa ryżowa;Quinoa Komosa Ryżowa Intenson 250 g;250.0;g;3.796;9.49;auto;100.0;shop_sku;120.0
koncentrat pomidorowy;koncentrat pomidorowy;;biedronka;koncentrat pomidorowy;Dawtona Koncentrat pomidorowy 190 g;190.0;g;1.8158;3.45;auto;100.0;;82.0
koperek;koperek;;biedronka;koperek;Kamis Koperek 6 g;6.0;g;41.5;2.49;auto;100.0;;43.0
krakersy;krakersy;;biedronka;krakersy solone mix;Top Krakersy solone mix 90 g;90.0;g;2.1;1.89;auto;100.0;;480.0
krewetki;krewetki;;auchan;krewetki koktajlowe;Krewetki koktajlowe blanszowane Auchan 400 g;400.0;g;8.7475;34.99;auto;100.0;;85.0
krojone pomidory;krojone pomidory;;biedronka;pomidory;Pomidory malinowe polskie 500 g;500.0;g;2.598;12.99;auto;100.0;;18.0
krojone pomidory;pomidory krojone;;biedronka;pomidory;Pomidory malinowe polskie 500 g;500.0;g;2.598;12.99;auto;100.0;shop_sku;18.0
krojone pomidory;pomidory kruszone;;biedronka;pomidory;Pomidory malinowe polskie 500 g;500.0;g;2.598;12.99;auto;100.0;shop_sku;18.0
krojone pomidory;pomidory prażone;;biedronka;pomidory;Pomidory malinowe polskie 500 g;500.0;g;2.598;12.99;auto;100.0;shop_sku;18.0
krojone pomidory;pomidory prażone z chili;;biedronka;pomidory;Pomidory malinowe polskie 500 g;500.0;g;2.598;12.99;auto;100.0;shop_sku;18.0
kukurydza;kukurydza;;auchan;kukurydza;Kukurydza konserwowa Auchan 400 g;220.0;g;1.4955;3.29;auto;100.0;;86.0
kukurydza;kukurydza mini;;auchan;kukurydza;Kukurydza konserwowa Auchan 400 g;220.0;g;1.4955;3.29;auto;100.0;shop_sku;86.0
kukurydza słodka;kukurydza słodka;;auchan;kukurydza słodka;Kukurydza konserwowa słodka Dawtona 400 g;220.0;g;2.1727;4.78;auto;100.0;;86.0
kurczak;kurczak fajita;;biedronka;kurczak;Kraina Mięs Select Kurczak farmerski porcja rosołowa z kurczaka kg;600.0;g;0.9983;5.99;auto;100.0;;239.0
kurkuma;kur-kuma;;auchan;kurkuma;Kurkuma korzeń Owoce  Auchan na wagę ok. 100 g;100.0;g;5.179;5.18;auto;93.3;;354.0
kurkuma;kurkuma;;auchan;kurkuma;Kurkuma korzeń Owoce  Auchan na wagę ok. 100 g;100.0;g;5.179;5.18;auto;100.0;shop_sku;354.0
liofilizowane truskawki;liofilizowane truskawki;;auchan;liofilizowane truskawki całe;Liofilizowane truskawki całe  Garden Tree 45 g;45.0;g;42.2;18.99;auto;100.0;;396.0
