skladnik_z_przepisu;produkt_sklepowy;oryginalna_nazwa;pkg;jednostka;cena_per_100;cena_pkg;sklep;fuzzy_score;kcal;bialko_g;tluszcz_g;wegle_g
orzechy;orzechy nerkowca;Orzechy nerkowca Makar 1 kg;1000.0;g;6.31;63.1;auchan;100.0;553.0;18.2;43.8;30.2
orzechy pekan;orzechy pekan;BIO Orzechy pekan    BioLife 100 g;100.0;g;21.59;21.59;auchan;100.0;691.0;9.2;72.0;13.9
orzechy włoskie;orzechy włoskie;Orzechy włoskie łuskane Makar 1 kg;1000.0;g;4.84;48.4;auchan;100.0;654.0;15.2;65.2;13.7
orzeszki piniowe;orzeszki pini;Orzeszki pini Auchan 50 g;50.0;g;25.98;12.99;auchan;100.0;673.0;13.7;68.4;13.1
orzeszki ziemne;orzeszki ziemne;BIO Orzeszki ziemne   Bio Planet 350 g;350.0;g;4.11;14.39;auchan;100.0;567.0;25.8;49.2;16.1
papier ryżowy;papier ryżowy z tapioką;Papier ryżowy z tapioką Ricefield 300 g;300.0;g;4.8;14.39;auchan;100.0;350.0;0.5;0.1;86.0
papryczki pepperoncini;papryczki peperoni ostre mix;Papryczki peperoni ostre mix Warzywa Auchan 150 g;150.0;g;9.19;13.79;auchan;90.0;20.0;0.7;0.2;4.5
papryka;papryka;BIO  Papryka Palermo  Warzywa Auchan 180 g;180.0;g;7.22;12.99;auchan;100.0;282.0;14.0;13.0;54.0
czerwona papryka;papryka czerwona;Papryka czerwona;300.0;g;1.9;5.7;biedronka;100.0;31.0;1.0;0.3;6.0
papryka ostra;papryka ostra mielona;Papryka ostra mielona Auchan 500 g;500.0;g;3.6;18.0;auchan;100.0;318.0;12.0;17.3;56.6
papryka słodka;papryka słodka;Papryka wędzona słodka Kotányi 22 g;22.0;g;10.64;2.34;auchan;100.0;282.0;14.1;12.9;53.9
papryka zielona;papryka zielona;Papryka zielona Warzywa Auchan na wagę ok. 500 g;;;1.7;8.5;auchan;100.0;20.0;0.9;0.2;4.6
żółta papryka;papryka żółta;Papryka żółta Warzywa Auchan na wagę od 500 g;;;1.7;8.49;auchan;100.0;27.0;1.0;0.2;6.3
pasta chili;pasta;Pasta Gochujang   Sempio 170 g;170.0;g;4.94;8.39;auchan;100.0;371.0;13.0;1.5;74.7
pestki dyni;pestki dyni;Pestki dyni Auchan 500 g;500.0;g;3.2;15.99;auchan;100.0;559.0;30.2;49.1;10.7
pesto;pesto;Go Vege Pesto z tofu 190 g;190.0;g;3.68;6.99;biedronka;100.0;490.0;8.0;47.0;8.0
pieczarka;pieczarka mini;Pieczarka mini Warzywa Auchan 200 g;200.0;g;2.79;5.59;auchan;100.0;22.0;3.1;0.3;3.3
pieczarki;pieczarki;Pieczarki świeże   Warzywa Auchan na wagę ok. 300 g;;;1.38;4.13;auchan;100.0;22.0;3.1;0.3;3.3
pieprz cayenne;pieprz cayenne mielony;Pieprz cayenne mielony  Kotányi 25 g;20.0;g;11.7;2.34;auchan;100.0;318.0;12.0;17.3;56.6
pieprz cytrynowy;pieprz cytrynowy mielony;Pieprz cytrynowy mielony Prymat 20 g;20.0;g;8.65;1.73;auchan;100.0;255.0;10.0;3.0;65.0
pieprz czarny;pieprz czarny mielony;Pieprz czarny mielony Auchan 500 g;500.0;g;4.6;23.0;auchan;100.0;251.0;10.4;3.3;64.0
pieprz;pieprz czosnkowy;Pieprz czosnkowy Kamis 20 g;20.0;g;12.4;2.48;auchan;100.0;300.0;10.0;2.0;65.0
filet z indyka;pierś z indyka;Kraina Wędlin Serdelki z filetem z indyka 300 g;300.0;g;2.5;7.49;biedronka;100.0;135.0;29.3;1.7;0.0
filet z kurczaka;pierś z kurczaka;Kraina Mięs Filet z piersi kurczaka;500.0;g;2.48;12.4;biedronka;100.0;165.0;31.0;3.6;0.0
pietruszka;pietruszka;Pietruszka Warzywa Auchan 500 g;500.0;g;1.6;7.99;auchan;100.0;36.0;3.0;0.8;6.3
pistacje;pistacje prażone niesolone;Pistacje prażone niesolone Auchan 250 g;250.0;g;9.6;23.99;auchan;100.0;569.0;21.1;45.8;27.2
pomarańcza krwista;pomarańcza;BIO Pomarańcza Owoce  Auchan 1 kg;1000.0;g;1.3;12.99;auchan;100.0;49.0;0.9;0.1;12.5
pomidor;pomidor;Pomidor malinowy XL Warzywa Auchan na wagę ok 500g;;;1.6;8.0;auchan;100.0;18.0;0.9;0.2;3.9
pomidor koktajlowy;pomidor koktajlowy;Pomidor koktajlowy 400 g;400.0;g;3.0;11.99;biedronka;100.0;18.0;0.9;0.2;3.9
krojone pomidory;pomidory;Pomidory malinowe polskie 500 g;500.0;g;2.6;12.99;biedronka;100.0;18.0;0.9;0.2;3.9
pomidory suszone;pomidory suszone;BIO Pomidory suszone Ekologiko 80 g;80.0;g;8.24;6.59;auchan;100.0;258.0;14.1;2.9;55.8
por;por;Por Warzywa Auchan na wagę ok. 400 g;;;0.8;3.2;auchan;100.0;61.0;1.5;0.3;14.2
przyprawa;przyprawa;Przyprawa z Octem Balsamicznym z Modeny Monini 250 g;250.0;g;6.39;15.98;auchan;100.0;300.0;10.0;5.0;60.0
przyprawa do drobiu;przyprawa do drobiu;BIO Ekologiczna przyprawa do drobiu To Naturalne 20 g;20.0;g;17.45;3.49;auchan;100.0;300.0;10.0;5.0;60.0
